case_id,duty_of_care,breach_of_duty,contributory_negligence
0887,1.0,0.0,0.0
0888,1.0,1.0,0.0
0891,1.0,1.0,1.0
0893,0.0,0.0,0.0
0895,1.0,0.0,1.0
0897,1.0,1.0,0.0
0898,1.0,0.0,1.0
0900,0.0,0.0,0.0
0902,1.0,1.0,0.0
0904,1.0,0.0,0.0
0905,1.0,1.0,0.0
0907,1.0,1.0,0.0
0912,1.0,1.0,0.0
0913,1.0,0.0,0.0
0915,1.0,1.0,0.0
0926,0.0,0.0,0.0
0928,1.0,1.0,0.0
0931,1.0,1.0,0.0
0942,1.0,1.0,0.0
0946,1.0,1.0,1.0
0947,1.0,0.0,1.0
0959,1.0,1.0,0.0
0960,1.0,1.0,0.0
0961,1.0,1.0,0.0
0965,1.0,1.0,0.0
0979,0.0,0.0,0.0
0996,1.0,1.0,0.0
1014,1.0,1.0,0.0
1020,1.0,1.0,0.0
1024,1.0,1.0,0.0
1039,0.0,0.0,1.0
1041,1.0,1.0,0.0
1042,1.0,1.0,0.0
1043,1.0,1.0,0.0
1044,1.0,1.0,1.0
1045,1.0,1.0,0.0
1046,0.0,0.0,0.0
1047,1.0,1.0,0.0
1050,1.0,1.0,0.0
1051,1.0,0.0,0.0
1056,1.0,1.0,0.0
1058,0.0,0.0,1.0
1059,0.0,0.0,1.0
1061,0.0,0.0,0.0
1062,0.0,0.0,0.0
1066,0.0,0.0,0.0
1067,0.0,0.0,0.0
1069,0.0,0.0,0.0
1070,0.0,0.0,0.0
1071,0.0,0.0,1.0
1073,0.0,0.0,1.0
1075,0.0,0.0,0.0
1076,1.0,0.0,0.0
1077,0.0,0.0,0.0
1079,0.0,0.0,1.0
1081,1.0,1.0,0.0
1083,0.0,0.0,0.0
1084,1.0,1.0,0.0
1085,0.0,0.0,1.0
1089,1.0,1.0,0.0
1092,0.0,0.0,0.0
1093,1.0,1.0,0.0
1094,1.0,0.0,0.0
1097,1.0,1.0,0.0
1100,1.0,1.0,1.0
1101,0.0,0.0,0.0
1104,1.0,0.0,0.0
1107,0.0,0.0,0.0
1112,1.0,1.0,0.0
1115,0.0,0.0,0.0
1117,0.0,0.0,1.0
1120,0.0,0.0,0.0
1124,1.0,1.0,0.0
1125,0.0,0.0,1.0
1127,0.0,0.0,0.0
1181,0.0,0.0,1.0
1190,1.0,1.0,0.0
1212,0.0,0.0,1.0
1213,0.0,0.0,0.0
1216,1.0,1.0,0.0
1225,0.0,0.0,0.0
1229,0.0,0.0,0.0
1232,1.0,0.0,0.0
1234,0.0,0.0,0.0
1236,1.0,1.0,1.0
1237,1.0,1.0,0.0
1241,1.0,0.0,0.0
1242,0.0,0.0,0.0
1244,1.0,0.0,1.0
1247,0.0,0.0,0.0
1252,1.0,1.0,0.0
1259,1.0,1.0,1.0
1263,0.0,0.0,0.0
1264,1.0,1.0,0.0
1266,1.0,1.0,0.0
1269,1.0,0.0,0.0
1275,0.0,0.0,1.0
1279,1.0,1.0,0.0
1281,1.0,0.0,1.0
1283,1.0,1.0,0.0
1285,1.0,1.0,1.0
1289,1.0,1.0,0.0
1293,0.0,0.0,0.0
1302,1.0,0.0,1.0
1303,1.0,0.0,0.0
1310,0.0,0.0,0.0
1313,1.0,1.0,0.0
1316,1.0,0.0,0.0
1317,0.0,0.0,0.0
1321,1.0,1.0,0.0
1322,1.0,0.0,1.0
1323,0.0,0.0,0.0
1332,0.0,0.0,1.0
1334,1.0,1.0,0.0
1335,1.0,0.0,0.0
1340,1.0,1.0,1.0
1342,0.0,0.0,0.0
1343,0.0,0.0,0.0
1344,0.0,0.0,0.0
1345,0.0,0.0,1.0
1346,0.0,0.0,1.0
1348,1.0,1.0,0.0
1354,1.0,0.0,1.0
1356,1.0,1.0,0.0
1357,1.0,0.0,0.0
1358,0.0,0.0,0.0
1359,0.0,0.0,1.0
1360,0.0,0.0,0.0
1361,0.0,0.0,0.0
1362,1.0,1.0,0.0
1363,0.0,0.0,0.0
1366,1.0,1.0,0.0
1367,1.0,1.0,0.0
1370,1.0,1.0,1.0
1371,1.0,0.0,0.0
1373,0.0,0.0,1.0
1375,0.0,0.0,1.0
1379,1.0,1.0,0.0
1380,0.0,0.0,0.0
1387,1.0,0.0,0.0
1388,1.0,0.0,0.0
1392,0.0,0.0,1.0
1394,0.0,0.0,0.0
1395,0.0,0.0,0.0
1398,1.0,1.0,0.0
1401,1.0,0.0,1.0
1403,0.0,0.0,0.0
1409,1.0,1.0,0.0
1410,1.0,1.0,1.0
1414,1.0,1.0,0.0
1423,0.0,0.0,0.0
1425,1.0,1.0,0.0
1430,1.0,0.0,0.0
1433,1.0,0.0,0.0
1435,0.0,0.0,0.0
1440,1.0,1.0,0.0
1442,1.0,1.0,0.0
1443,0.0,0.0,0.0
1444,1.0,1.0,0.0
1445,1.0,0.0,0.0
1446,1.0,1.0,0.0
1448,0.0,0.0,1.0
1451,0.0,0.0,0.0
1452,1.0,1.0,0.0
1453,1.0,0.0,1.0
1454,1.0,0.0,1.0
1455,1.0,0.0,1.0
1459,1.0,1.0,0.0
1461,1.0,1.0,0.0
1465,1.0,1.0,0.0
1467,1.0,1.0,1.0
1469,0.0,0.0,0.0
1474,0.0,0.0,0.0
1480,1.0,1.0,0.0
1482,1.0,1.0,0.0
1483,1.0,1.0,0.0
1484,1.0,0.0,1.0
1485,1.0,0.0,0.0
1491,0.0,0.0,0.0
1492,1.0,1.0,1.0
1495,1.0,0.0,0.0
1496,0.0,0.0,0.0
1499,1.0,1.0,0.0
1503,1.0,1.0,0.0
1504,1.0,1.0,0.0
1509,1.0,1.0,0.0
1512,1.0,1.0,0.0
1515,1.0,1.0,0.0
1523,0.0,0.0,0.0
1526,1.0,1.0,0.0
1529,1.0,0.0,0.0
1534,0.0,0.0,0.0
1535,0.0,0.0,1.0
1536,1.0,0.0,0.0
1538,0.0,0.0,0.0
1539,1.0,1.0,0.0
1543,1.0,1.0,0.0
1545,1.0,1.0,0.0
1549,0.0,0.0,1.0
1550,1.0,0.0,0.0
1551,1.0,0.0,0.0
1552,0.0,0.0,0.0
1554,1.0,1.0,1.0
1559,1.0,1.0,0.0
1561,0.0,1.0,0.0
1562,0.0,0.0,0.0
1564,1.0,1.0,0.0
1565,1.0,1.0,0.0
